time,obs,model
2018-09-16 05:00:00,0.0,3.8063988567239937
2018-09-16 06:00:00,1.6,3.106200471479353
2018-09-16 07:00:00,2.4,2.693194366999437
2018-09-16 08:00:00,2.8,3.3099277513807386
2018-09-16 09:00:00,3.4,4.051973055374319
2018-09-16 10:00:00,3.0,4.576151868554218
2018-09-16 11:00:00,1.7,5.206517302210076
2018-09-16 12:00:00,5.0,5.292802263294922
2018-09-16 13:00:00,5.3,4.1771412732045095
2018-09-16 14:00:00,5.2,3.672630849108143
2018-09-16 15:00:00,6.2,4.260159187029063
2018-09-16 16:00:00,6.2,4.567217752289261
2018-09-16 17:00:00,5.7,6.309752517901015
2018-09-16 18:00:00,9.2,6.740909813393492
2018-09-16 19:00:00,8.6,7.627997387698065
2018-09-16 20:00:00,7.8,7.489915807681175
2018-09-16 21:00:00,10.6,6.201956458732649
2018-09-16 22:00:00,9.7,4.706750834489622
2018-09-16 23:00:00,7.5,4.801490576093983
2018-09-17 00:00:00,6.0,6.022917530856295
2018-09-17 01:00:00,4.2,6.297653112303058
2018-09-17 02:00:00,9.6,6.311369841977775
2018-09-17 03:00:00,10.9,5.948485160778987
2018-09-17 04:00:00,11.3,5.830055878307639
2018-09-17 05:00:00,11.3,5.273358108488029
2018-09-17 06:00:00,10.5,5.726919207320611
2018-09-17 07:00:00,12.0,6.878587099087743
2018-09-17 08:00:00,11.4,7.927268334801915
2018-09-17 09:00:00,11.7,7.437059148978203
2018-09-17 10:00:00,10.7,7.285332186213376
2018-09-17 11:00:00,11.5,7.538102574088553
2018-09-17 12:00:00,12.2,7.858763896625866
2018-09-17 13:00:00,11.6,8.608072227316818
2018-09-17 14:00:00,12.1,7.9379824994836925
2018-09-17 15:00:00,12.3,7.746212433691133
2018-09-17 16:00:00,12.1,8.401016137560664
2018-09-17 17:00:00,12.1,7.879841360828666
2018-09-17 18:00:00,13.2,8.467616156656185
2018-09-17 19:00:00,12.2,8.73566112023123
2018-09-17 20:00:00,12.6,8.450553686296566
2018-09-17 21:00:00,12.1,8.130951095822446
2018-09-17 22:00:00,13.2,8.15243873851585
2018-09-17 23:00:00,12.4,8.467483707363874
2018-09-18 00:00:00,10.4,7.932714266090857
2018-09-18 01:00:00,10.5,7.779053895197959
2018-09-18 02:00:00,11.5,7.847464726694779
2018-09-18 03:00:00,11.3,8.083230506269166
2018-09-18 04:00:00,10.3,7.689792694353269
2018-09-18 05:00:00,10.4,7.902811501387645
2018-09-18 06:00:00,10.6,8.178377383590096
2018-09-18 07:00:00,10.0,9.288121617745709
2018-09-18 08:00:00,8.5,8.75000087193076
2018-09-18 09:00:00,7.1,8.821109975574043
2018-09-18 10:00:00,8.3,8.895946445386217
2018-09-18 11:00:00,8.3,8.971265911817957
2018-09-18 12:00:00,7.4,8.81013099806836
