time,obs,model
2018-09-16 05:00:00,0.7,272.57647705078125
2018-09-16 06:00:00,1.0,271.4351806640625
2018-09-16 07:00:00,-0.2,272.38055419921875
2018-09-16 08:00:00,-0.8,273.3148193359375
2018-09-16 09:00:00,-1.2,273.99853515625
2018-09-16 10:00:00,-0.6,274.114501953125
2018-09-16 11:00:00,0.1,274.092529296875
2018-09-16 12:00:00,1.1,274.119873046875
2018-09-16 13:00:00,0.1,274.223388671875
2018-09-16 14:00:00,-0.3,274.22216796875
2018-09-16 15:00:00,1.2,274.16552734375
2018-09-16 16:00:00,1.0,274.00537109375
2018-09-16 17:00:00,1.0,273.9599609375
2018-09-16 18:00:00,1.1,274.36279296875
2018-09-16 19:00:00,1.8,274.3247985839844
2018-09-16 20:00:00,1.6,274.327392578125
2018-09-16 21:00:00,1.9,274.2333984375
2018-09-16 22:00:00,1.8,273.84619140625
2018-09-16 23:00:00,-0.2,273.731201171875
2018-09-17 00:00:00,-0.9,273.822265625
2018-09-17 01:00:00,-1.9,274.0478515625
2018-09-17 02:00:00,1.2,274.17431640625
2018-09-17 03:00:00,1.5,274.18701171875
2018-09-17 04:00:00,1.4,273.718505859375
2018-09-17 05:00:00,1.0,273.1591796875
2018-09-17 06:00:00,0.9,273.9970703125
2018-09-17 07:00:00,1.0,274.162841796875
2018-09-17 08:00:00,0.9,274.145751953125
2018-09-17 09:00:00,1.0,274.26904296875
2018-09-17 10:00:00,1.1,274.45263671875
2018-09-17 11:00:00,1.7,274.500732421875
2018-09-17 12:00:00,1.4,274.558837890625
2018-09-17 13:00:00,1.3,274.463623046875
2018-09-17 14:00:00,1.3,274.455078125
2018-09-17 15:00:00,1.3,274.340576171875
2018-09-17 16:00:00,0.9,274.078857421875
2018-09-17 17:00:00,0.5,273.76904296875
2018-09-17 18:00:00,0.2,273.572265625
2018-09-17 19:00:00,0.4,273.4609375
2018-09-17 20:00:00,-0.3,273.6455078125
2018-09-17 21:00:00,-0.1,273.793212890625
2018-09-17 22:00:00,0.2,273.951171875
2018-09-17 23:00:00,0.2,273.827392578125
2018-09-18 00:00:00,-0.4,273.6256408691406
2018-09-18 01:00:00,-0.5,273.453369140625
2018-09-18 02:00:00,-0.9,273.2628173828125
2018-09-18 03:00:00,-0.8,273.0591125488281
2018-09-18 04:00:00,-0.7,272.7940673828125
2018-09-18 05:00:00,-0.3,272.95880126953125
2018-09-18 06:00:00,-0.2,273.178466796875
2018-09-18 07:00:00,-0.4,273.42791748046875
2018-09-18 08:00:00,-0.3,273.406005859375
2018-09-18 09:00:00,-0.9,273.63427734375
2018-09-18 10:00:00,-0.8,273.68994140625
2018-09-18 11:00:00,-0.7,273.695068359375
2018-09-18 12:00:00,-0.4,273.780029296875
2018-09-18 13:00:00,0.1,273.794921875
2018-09-18 14:00:00,-0.1,273.79296875
2018-09-18 15:00:00,0.3,273.72998046875
2018-09-18 16:00:00,0.3,273.7412109375
2018-09-18 17:00:00,0.2,273.878173828125
2018-09-18 18:00:00,0.2,273.874755859375
2018-09-18 19:00:00,0.1,273.883056640625
2018-09-18 20:00:00,0.2,273.69329833984375
2018-09-18 21:00:00,0.2,273.78790283203125
2018-09-18 22:00:00,0.1,273.576904296875
2018-09-18 23:00:00,0.2,273.5533752441406
2018-09-19 00:00:00,0.1,273.60205078125
2018-09-19 01:00:00,0.1,273.6920471191406
2018-09-19 02:00:00,0.0,273.5150451660156
2018-09-19 03:00:00,-0.1,273.43280029296875
2018-09-19 04:00:00,-0.3,273.28533935546875
2018-09-19 05:00:00,-0.3,273.2088623046875
2018-09-19 06:00:00,-0.1,273.3221130371094
2018-09-19 07:00:00,-0.3,273.4957275390625
2018-09-19 08:00:00,-0.3,273.64794921875
2018-09-19 09:00:00,-0.3,273.80712890625
2018-09-19 10:00:00,-0.4,273.879150390625
2018-09-19 11:00:00,-0.2,273.993896484375
2018-09-19 12:00:00,0.3,274.11328125
2018-09-19 13:00:00,0.5,273.83056640625
2018-09-19 14:00:00,0.3,273.79986572265625
2018-09-19 15:00:00,0.6,273.9202880859375
2018-09-19 16:00:00,0.4,273.73828125
2018-09-19 17:00:00,0.2,273.2718505859375
2018-09-19 18:00:00,0.0,273.51641845703125
2018-09-19 19:00:00,-0.8,273.42108154296875
2018-09-19 20:00:00,0.2,273.3603515625
2018-09-19 21:00:00,-0.4,273.217041015625
2018-09-19 22:00:00,-0.7,273.20703125
2018-09-19 23:00:00,0.2,273.0258483886719
2018-09-20 00:00:00,-0.1,273.2762451171875
2018-09-20 01:00:00,-0.4,273.2625427246094
2018-09-20 02:00:00,-0.5,273.2015686035156
2018-09-20 03:00:00,-0.7,272.9456787109375
2018-09-20 04:00:00,-1.2,273.00946044921875
2018-09-20 05:00:00,-1.9,272.9083251953125
2018-09-20 06:00:00,-0.5,273.1844482421875
2018-09-20 07:00:00,-0.7,273.2016296386719
2018-09-20 08:00:00,-1.0,273.1866760253906
2018-09-20 09:00:00,-0.7,273.1219787597656
2018-09-20 10:00:00,-0.5,273.10430908203125
2018-09-20 11:00:00,-0.6,273.109619140625
2018-09-20 12:00:00,-0.2,273.0735168457031
2018-09-20 13:00:00,-0.2,273.0669860839844
2018-09-20 14:00:00,-0.8,273.067138671875
2018-09-20 15:00:00,-1.1,273.0567932128906
2018-09-20 16:00:00,-1.0,272.955810546875
2018-09-20 17:00:00,-0.9,272.5360107421875
2018-09-20 18:00:00,-1.1,272.2452392578125
2018-09-20 19:00:00,-1.0,272.158447265625
2018-09-20 20:00:00,-1.0,272.10162353515625
2018-09-20 21:00:00,-1.6,272.14093017578125
2018-09-20 22:00:00,-1.5,272.25872802734375
2018-09-20 23:00:00,-1.4,272.35247802734375
2018-09-21 00:00:00,-1.2,272.70159912109375
2018-09-21 01:00:00,-1.8,272.52215576171875
2018-09-21 02:00:00,-1.3,272.97900390625
2018-09-21 03:00:00,-3.0,273.1613464355469
2018-09-21 04:00:00,-3.9,273.2906799316406
